Row ID,Order ID,Order Date,Ship Mode,Customer Name,Segment,Country,State,Region,Product,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,CA-2019-152156,2022-11-07,Second Class,Claire Gute,Consumer,United States,Kentucky,South,FUR-BO-10001798,Furniture,Bookcases,261.96,2,0,41.9136
2,CA-2019-152156,2022-11-07,Second Class,Claire Gute,Consumer,United States,Kentucky,South,FUR-CH-10000454,Furniture,Chairs,731.94,3,0,219.582
3,CA-2019-138688,2022-06-11,Second Class,Darrin Van Huff,Corporate,United States,California,West,OFF-LA-10000240,Office Supplies,Labels,14.62,2,0,6.8714
4,US-2018-108966,2021-10-10,Standard Class,Sean O'Donnell,Consumer,United States,Florida,South,FUR-TA-10000577,Furniture,Tables,957.5775,5,0.45,-383.031
5,US-2018-108966,2021-10-10,Standard Class,Sean O'Donnell,Consumer,United States,Florida,South,OFF-ST-10000760,Office Supplies,Storage,22.368,2,0.2,2.5164
6,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,FUR-FU-10001487,Furniture,Furnishings,48.86,7,0,14.1694
7,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,OFF-AR-10002833,Office Supplies,Art,7.28,4,0,1.9656
8,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,TEC-PH-10002275,Technology,Phones,907.152,6,0.2,90.7152
9,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,OFF-BI-10003910,Office Supplies,Binders,18.504,3,0.2,5.7825
10,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,OFF-AP-10002892,Office Supplies,Appliances,114.9,5,0,34.47
11,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,FUR-TA-10001539,Furniture,Tables,1706.184,9,0.2,85.3092
12,CA-2017-115812,2020-06-08,Standard Class,Brosina Hoffman,Consumer,United States,California,West,TEC-PH-10002033,Technology,Phones,911.424,4,0.2,68.3568
13,CA-2020-114412,2023-04-15,Standard Class,Andrew Allen,Consumer,United States,North Carolina,South,OFF-PA-10002365,Office Supplies,Paper,15.552,3,0.2,5.4432
14,CA-2019-161389,2022-12-04,Standard Class,Irene Maddox,Consumer,United States,Washington,West,OFF-BI-10003656,Office Supplies,Binders,407.976,3,0.2,132.5922
15,US-2018-118983,2021-11-21,Standard Class,Harold Pawlan,Home Office,United States,Texas,Central,OFF-AP-10002311,Office Supplies,Appliances,68.81,5,0.8,-123.858
16,US-2018-118983,2021-11-21,Standard Class,Harold Pawlan,Home Office,United States,Texas,Central,OFF-BI-10000756,Office Supplies,Binders,2.544,3,0.8,-3.816
17,CA-2017-105893,2020-11-10,Standard Class,Pete Kriz,Consumer,United States,Wisconsin,Central,OFF-ST-10004186,Office Supplies,Storage,665.88,6,0,13.3176
18,CA-2017-167164,2020-05-12,Second Class,Alejandro Grove,Consumer,United States,Utah,West,OFF-ST-10000107,Office Supplies,Storage,55.5,2,0,9.99
19,CA-2017-143336,2020-08-26,Second Class,Zuschuss Donatelli,Consumer,United States,California,West,OFF-AR-10003056,Office Supplies,Art,8.56,2,0,2.4824
20,CA-2017-143336,2020-08-26,Second Class,Zuschuss Donatelli,Consumer,United States,California,West,TEC-PH-10001949,Technology,Phones,213.48,3,0.2,16.011
21,CA-2017-143336,2020-08-26,Second Class,Zuschuss Donatelli,Consumer,United States,California,West,OFF-BI-10002215,Office Supplies,Binders,22.72,4,0.2,7.384
22,CA-2019-137330,2022-12-08,Standard Class,Ken Black,Corporate,United States,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,19.46,7,0,5.0596
23,CA-2019-137330,2022-12-08,Standard Class,Ken Black,Corporate,United States,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,60.34,7,0,15.6884
24,US-2020-156909,2023-07-16,Second Class,Sandra Flanagan,Consumer,United States,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,71.372,2,0.3,-1.0196
25,CA-2018-106320,2021-09-24,Standard Class,Emily Burns,Consumer,United States,Utah,West,FUR-TA-10000577,Furniture,Tables,1044.63,3,0,240.2649
