RowID,OrderDate,CustomerName,Sales,Profit
1,2022-11-07,Claire Gute,261.96,41.9136
2,2022-11-07,Claire Gute,731.94,219.582
3,2022-06-11,Darrin Van Huff,14.62,6.8714
4,2021-10-10,Sean O'Donnell,957.5775,-383.031
5,2021-10-10,Sean O'Donnell,22.368,2.5164
6,2020-06-08,Brosina Hoffman,48.86,14.1694
7,2020-06-08,Brosina Hoffman,7.28,1.9656
8,2020-06-08,Brosina Hoffman,907.152,90.7152
9,2020-06-08,Brosina Hoffman,18.504,5.7825
10,2020-06-08,Brosina Hoffman,114.9,34.47
11,2020-06-08,Brosina Hoffman,1706.184,85.3092
12,2020-06-08,Brosina Hoffman,911.424,68.3568
13,2023-04-15,Andrew Allen,15.552,5.4432
14,2022-12-04,Irene Maddox,407.976,132.5922
15,2021-11-21,Harold Pawlan,68.81,-123.858
16,2021-11-21,Harold Pawlan,2.544,-3.816
17,2020-11-10,Pete Kriz,665.88,13.3176
18,2020-05-12,Alejandro Grove,55.5,9.99
19,2020-08-26,Zuschuss Donatelli,8.56,2.4824
20,2020-08-26,Zuschuss Donatelli,213.48,16.011
21,2020-08-26,Zuschuss Donatelli,22.72,7.384
22,2022-12-08,Ken Black,19.46,5.0596
23,2022-12-08,Ken Black,60.34,15.6884
24,2023-07-16,Sandra Flanagan,71.372,-1.0196
25,2021-09-24,Emily Burns,1044.63,240.2649
26,2022-01-15,Eric Hoffmann,11.648,4.2224
27,2022-01-15,Eric Hoffmann,90.57,11.7741
28,2021-09-16,Tracy Blumstein,3083.43,-1665.0522
29,2021-09-16,Tracy Blumstein,9.618,-7.0532
30,2021-09-16,Tracy Blumstein,124.2,15.525
31,2021-09-16,Tracy Blumstein,3.264,1.1016
32,2021-09-16,Tracy Blumstein,86.304,9.7092
33,2021-09-16,Tracy Blumstein,6.858,-5.715
34,2021-09-16,Tracy Blumstein,15.76,3.546
35,2023-10-19,Matt Abelman,29.472,9.9468
36,2022-12-07,Gene Hale,1097.544,123.4737
37,2022-12-07,Gene Hale,190.92,-147.963
38,2021-12-26,Steve Nguyen,113.328,35.415
39,2021-12-26,Steve Nguyen,532.3992,-46.9764
40,2021-12-26,Steve Nguyen,212.058,-15.147
41,2021-12-26,Steve Nguyen,371.168,41.7564
42,2023-09-10,Linda Cazamias,147.168,16.5564
43,2022-07-16,Ruben Ausman,77.88,3.894
44,2023-09-19,Erin Smith,95.616,9.5616
45,2022-03-10,Odella Nelson,45.98,19.7714
46,2022-03-10,Odella Nelson,17.46,8.2062
47,2020-10-19,Patrick O'Donnell,211.96,8.4784
48,2022-06-19,Lena Hernandez,45,4.95
49,2022-06-19,Lena Hernandez,21.8,6.104
50,2021-04-17,Darren Powers,38.22,17.9634
51,2021-04-17,Darren Powers,75.18,35.3346
52,2021-04-17,Darren Powers,6.16,2.9568
53,2021-04-17,Darren Powers,89.99,17.0981
54,2022-12-10,Janet Molinari,15.26,6.2566
55,2022-12-10,Janet Molinari,1029.95,298.6855
56,2022-06-16,Ted Butterfield,208.56,52.14
57,2022-06-16,Ted Butterfield,32.4,15.552
